Stock_Index,Stock_Name,Weeks_Listed,First_Listed,Last_Listed
6451,Paratek Pharmaceuticals Inc,38,2017-04-07,2018-01-05
3146,K&F Industries Holdings Inc.,38,2006-10-06,2007-06-22
3419,"Logicon, Inc.",38,1996-10-04,1997-08-01
4029,New Mountain Finance Corporation,38,2013-07-05,2014-03-21
5153,"Silknet Software, Inc.",38,1999-07-02,2000-04-14
1634,Dawson Geophysical Company,38,2007-08-24,2008-06-20
2972,"InterCept, Inc.",38,2001-06-29,2002-05-03
1983,Enterra Corporation,38,1994-10-07,1995-09-29
3204,KEYW Holding Corporation,38,2013-03-15,2019-04-26
148,AGENCY.COM Ltd.,38,2000-01-07,2000-09-29
1878,"Efficient Networks, Inc.",39,2000-07-07,2001-03-30
